Image URL,Item Name,MRP,Incl.GST,Margins
https://images-eu.ssl-images-amazon.com/images/I/41y64z29JVL._AA160_.jpg,Dove Cream Beauty Bathing Bar 50 g,20.00,17.78,12.49%
https://images-eu.ssl-images-amazon.com/images/I/41TUAM6e4WL._AA160_.jpg,"Ringguard Cream - 12 g, (DL Reqd) (MFR: RB)",56.00,44.45,25.98%
https://images-eu.ssl-images-amazon.com/images/I/514e4RwQQ2L._AA160_.jpg,Dabur Honey - India's No.1 Honey - 50 g,37.00,31.07,19.09%
https://images-eu.ssl-images-amazon.com/images/I/31a4k-aQAVL._AA160_.jpg,"Camlin Exam Standard Scale, 15 cm [Pack of 10]",50.00,33.58,48.90%
https://images-eu.ssl-images-amazon.com/images/I/4179FGgb7VL._AA160_.jpg,Whisper Choice Wings - 7 Pads,30.00,25.81,16.23%
https://images-eu.ssl-images-amazon.com/images/I/51e65XFfU2L._AA160_.jpg,Classmate Invento Geometry Box,110.00,80.85,36.05%
https://images-eu.ssl-images-amazon.com/images/I/41sv8f8I4nL._AA160_.jpg,"Scotch Brite Scrub Pad, 3 x 3 inches [Pack of 12]",120.00,92.95,29.10%
https://images-eu.ssl-images-amazon.com/images/I/51YjV7dzSKL._AA160_.jpg,"Nestlé CERELAC Fortified Baby Cereal with Milk, Wheat Apple Cherry – From 8 Months, 300g BIB Pack",210.00,192.65,9.01%
https://images-eu.ssl-images-amazon.com/images/I/51o-H5k16ML._AA160_.jpg,"Whiskas Adult Cat Food Pocket Tuna, 480 g (Small Pack)",175.00,145.65,20.15%
https://images-eu.ssl-images-amazon.com/images/I/415NuxpSqCL._AA160_.jpg,Pears Pure & Gentle Soap Bar 75 g with 33% Extra,35.00,32.00,9.38%
https://images-eu.ssl-images-amazon.com/images/I/617jJn--tsL._AA160_.jpg,"Parle Krack Jack Biscuit, 75.4g [Pack of 10]",100.00,88.40,13.12%
https://images-eu.ssl-images-amazon.com/images/I/41CzuzNydgL._AA160_.jpg,BAND-AID Flexi 100 + 30 Free (Jar),200.00,160.36,24.72%
https://images-eu.ssl-images-amazon.com/images/I/51V97HZ-SwL._AA160_.jpg,"Surf Excel Detergent Bar, 250g [Pack of 6]",150.00,133.08,12.71%
https://images-eu.ssl-images-amazon.com/images/I/51gNQY4sfhL._AA160_.jpg,"Classmate Long Notebook 314mm x 194mm, Soft Cover, 92 Pages, Single Line [Pack of 18]",594.00,440.63,34.81%
https://images-eu.ssl-images-amazon.com/images/I/511H8K1zdYL._AA160_.jpg,"Nestle CERELAC Fortified Baby Cereal with Milk, Multigrain & Fruits – From 12 Months, 300g BIB Pack",245.00,222.31,10.21%
https://images-eu.ssl-images-amazon.com/images/I/51GADIT9ALL._AA160_.jpg,Camlin Klick Lead 0.7mm (10 tubes),50.00,33.96,47.23%
https://images-eu.ssl-images-amazon.com/images/I/41qUKZSfZFL._AA160_.jpg,"Himalaya Herbals Purifying Neem Face Wash, 50ml",65.00,53.18,22.23%
https://images-eu.ssl-images-amazon.com/images/I/41YYI0%2BWjVL._AA160_.jpg,"Good Day Cashew, 58g [Pack of 12]",120.00,106.92,12.23%
